region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
birmingham,4000,2002.0,toyota,toyota - echo,excellent,4 cylinders,gas,155000.0,clean,automatic,fwd,compact,sedan,blue,al
birmingham,2500,1995.0,bmw,bmw - 525i,fair,6 cylinders,gas,110661.0,clean,automatic,rwd,mid-size,sedan,white,al
birmingham,9000,2008.0,mazda,mazda - miata mx-5,excellent,4 cylinders,gas,56700.0,clean,automatic,rwd,compact,convertible,white,al
birmingham,8950,2011.0,ford,ford - f-150,excellent,6 cylinders,gas,164000.0,clean,automatic,fwd,full-size,truck,white,al
birmingham,9400,2008.0,mercedes-benz,mercedes-benz - benz c350,good,6 cylinders,gas,129473.0,clean,automatic,rwd,full-size,sedan,silver,al
birmingham,7300,2007.0,lexus,lexus - rx350,good,6 cylinders,gas,181000.0,clean,automatic,fwd,mid-size,SUV,white,al
birmingham,28900,2017.0,audi,audi - q7,good,6 cylinders,gas,94601.0,clean,automatic,4wd,full-size,SUV,white,al
birmingham,17000,2019.0,chevrolet,chevrolet - trax,good,4 cylinders,gas,14898.0,clean,automatic,4wd,full-size,SUV,grey,al
birmingham,5950,2007.0,mitsubishi,mitsubishi - eclipse,good,4 cylinders,gas,72000.0,clean,manual,fwd,compact,hatchback,black,al
birmingham,8900,2013.0,toyota,toyota - prius,excellent,4 cylinders,hybrid,142900.0,clean,automatic,fwd,mid-size,wagon,blue,al
birmingham,10800,2013.0,toyota,toyota - camry,excellent,4 cylinders,hybrid,147000.0,clean,automatic,fwd,mid-size,sedan,grey,al
birmingham,10500,2008.0,infiniti,infiniti - ex35,good,6 cylinders,gas,122904.0,clean,automatic,rwd,full-size,wagon,black,al
birmingham,9500,2014.0,toyota,toyota - prius v hybrid,good,4 cylinders,gas,136128.0,clean,automatic,fwd,mid-size,hatchback,white,al
birmingham,12900,2014.0,nissan,nissan - rogue sv,good,4 cylinders,gas,120211.0,clean,automatic,fwd,full-size,SUV,red,al
birmingham,6950,2011.0,volkswagen,volkswagen - jetta,excellent,5 cylinders,gas,116000.0,clean,automatic,fwd,full-size,sedan,silver,al
birmingham,48900,2018.0,chevrolet,chevrolet - silverado 2500 hd ltz,like new,8 cylinders,diesel,43034.0,rebuilt,automatic,4wd,full-size,truck,black,al
birmingham,14700,2015.0,honda,honda - cr-v ex-l,excellent,4 cylinders,gas,70672.0,salvage,automatic,4wd,compact,SUV,brown,al
birmingham,45300,2018.0,ram,ram - 3500 big horn,excellent,6 cylinders,diesel,34125.0,rebuilt,automatic,4wd,full-size,truck,black,al
birmingham,5500,2010.0,hyundai,hyundai - accent,good,4 cylinders,gas,114988.0,clean,automatic,fwd,mid-size,hatchback,blue,al
birmingham,6900,2008.0,ford,ford - escape hev,good,4 cylinders,hybrid,103550.0,clean,automatic,fwd,mid-size,SUV,white,al
birmingham,10900,2010.0,honda,honda - accord crosstour exl,good,6 cylinders,gas,97804.0,clean,automatic,fwd,full-size,wagon,grey,al
birmingham,8900,2014.0,fiat,fiat - 500l lounge,good,4 cylinders,gas,84778.0,clean,automatic,fwd,mid-size,hatchback,red,al
birmingham,8500,2004.0,bmw,bmw - z4,excellent,4 cylinders,gas,116014.0,clean,automatic,rwd,sub-compact,other,white,al
birmingham,27900,2014.0,chevrolet,chevrolet - silverado 3500hd,good,8 cylinders,diesel,170525.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,19900,2011.0,cadillac,cadillac - escalade,good,8 cylinders,gas,133257.0,clean,automatic,rwd,full-size,SUV,white,al
birmingham,6900,2001.0,jeep,jeep - cherokee sport,excellent,6 cylinders,gas,144445.0,clean,automatic,rwd,full-size,SUV,white,al
birmingham,8950,2011.0,ford,ford - f-150,excellent,6 cylinders,gas,164000.0,clean,automatic,fwd,full-size,truck,white,al
birmingham,31900,2019.0,ford,ford - transit,like new,6 cylinders,gas,29497.0,clean,automatic,rwd,mid-size,van,white,al
birmingham,11500,2013.0,chevrolet,chevrolet - express,excellent,8 cylinders,gas,228699.0,clean,automatic,rwd,full-size,van,white,al
birmingham,32900,2019.0,ford,ford - transit,like new,6 cylinders,gas,6735.0,clean,automatic,rwd,full-size,van,white,al
birmingham,31500,2019.0,gmc,gmc - savana,like new,8 cylinders,gas,24585.0,clean,automatic,rwd,full-size,van,white,al
birmingham,29900,2019.0,ford,ford - f-150,like new,8 cylinders,gas,23004.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,9500,2014.0,ford,ford - transit connect,excellent,4 cylinders,gas,219581.0,clean,automatic,fwd,full-size,van,white,al
birmingham,17200,2014.0,ford,ford - transit connect,excellent,4 cylinders,gas,45026.0,clean,automatic,fwd,full-size,van,white,al
birmingham,23900,2017.0,ford,ford - transit 150,excellent,6 cylinders,gas,108482.0,clean,automatic,rwd,full-size,van,white,al
birmingham,22300,2017.0,ford,ford - transit 150,excellent,6 cylinders,gas,113617.0,clean,automatic,rwd,full-size,van,white,al
birmingham,6900,2010.0,mazda,mazda - 3i,good,4 cylinders,gas,165255.0,rebuilt,automatic,fwd,mid-size,sedan,grey,al
birmingham,8500,2008.0,jeep,jeep - commander sport,good,8 cylinders,gas,198000.0,clean,automatic,rwd,full-size,SUV,black,al
birmingham,16900,2015.0,ram,ram - 1500 slt,good,6 cylinders,gas,97563.0,clean,automatic,rwd,full-size,pickup,silver,al
birmingham,24990,2007.0,ford,ford - super duty f-450 drw,good,10 cylinders,gas,46463.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,33990,2016.0,chevrolet,chevrolet - express commercial cutaway,good,8 cylinders,gas,12398.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,20990,2006.0,chevrolet,chevrolet - express cargo van,good,8 cylinders,diesel,134296.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,27990,2008.0,ford,ford - econoline cargo van,good,8 cylinders,gas,83459.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,33990,2014.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,136250.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,22990,2010.0,ford,ford - econoline commercial cutaway,good,10 cylinders,gas,121911.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,24990,2017.0,gmc,gmc - savana commercial cutaway,good,8 cylinders,gas,136965.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,24990,2009.0,chevrolet,chevrolet - 3500 lcf gas,good,8 cylinders,gas,72789.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,25990,2006.0,chevrolet,chevrolet - express cargo van,good,8 cylinders,gas,73360.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,29990,2011.0,ford,ford - super duty f-450 drw,good,8 cylinders,diesel,137481.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,33990,2007.0,chevrolet,chevrolet - cc4500,good,8 cylinders,gas,77581.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,21990,2005.0,ford,ford - econoline commercial cutaway,good,8 cylinders,gas,45554.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,49990,2015.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,152701.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,26990,1998.0,mitsubishi,mitsubishi - fuso fh211,good,4 cylinders,diesel,166302.0,clean,manual,rwd,full-size,truck,white,al
birmingham,26990,2016.0,chevrolet,chevrolet - express commercial cutaway,good,8 cylinders,gas,75734.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,27490,2006.0,mitsubishi,mitsubishi - fuso fe145,good,4 cylinders,diesel,96626.0,clean,automatic,rwd,full-size,truck,green,al
birmingham,28490,2008.0,mitsubishi,mitsubishi - fuso fe145,good,4 cylinders,diesel,70643.0,clean,automatic,rwd,full-size,truck,green,al
birmingham,33990,2012.0,ford,ford - super duty f-250 srw,good,8 cylinders,diesel,49678.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,46990,2016.0,ram,ram - 4500,good,6 cylinders,diesel,17619.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,44990,2012.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,52307.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,44990,2015.0,ram,ram - 5500,good,6 cylinders,diesel,80733.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,20990,2010.0,ram,ram - 2500,good,8 cylinders,gas,121850.0,clean,automatic,4wd,full-size,truck,black,al
birmingham,26990,2008.0,chevrolet,chevrolet - cc4500,good,8 cylinders,gas,100921.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,52990,2014.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,15886.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,35990,2014.0,ford,ford - super duty f-450 drw,good,10 cylinders,gas,42213.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,27990,2011.0,ford,ford - f-750,good,6 cylinders,diesel,123622.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,27490,2006.0,mitsubishi,mitsubishi - fuso fe145,good,4 cylinders,diesel,96626.0,clean,automatic,rwd,full-size,truck,green,al
birmingham,33990,2014.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,136250.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,24990,2009.0,chevrolet,chevrolet - 3500 lcf gas,good,8 cylinders,gas,72789.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,25990,2006.0,chevrolet,chevrolet - express cargo van,good,8 cylinders,gas,73360.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,24990,2017.0,gmc,gmc - savana commercial cutaway,good,8 cylinders,gas,136965.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,29990,2011.0,ford,ford - super duty f-450 drw,good,8 cylinders,diesel,137481.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,24990,2007.0,ford,ford - super duty f-450 drw,good,10 cylinders,gas,46463.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,22990,2010.0,ford,ford - econoline commercial cutaway,good,10 cylinders,gas,121911.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,20990,2006.0,chevrolet,chevrolet - express cargo van,good,8 cylinders,diesel,134296.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,33990,2016.0,chevrolet,chevrolet - express commercial cutaway,good,8 cylinders,gas,12398.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,26990,2016.0,chevrolet,chevrolet - express commercial cutaway,good,8 cylinders,gas,75734.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,27990,2008.0,ford,ford - econoline cargo van,good,8 cylinders,gas,83459.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,14990,2012.0,ford,ford - econoline,good,8 cylinders,gas,67820.0,clean,automatic,rwd,full-size,truck,white,al
birmingham,59990,2017.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,31337.0,clean,automatic,4wd,full-size,truck,white,al
birmingham,31990,2006.0,ford,ford - super duty f-550 drw,good,8 cylinders,diesel,59429.0,clean,automatic,4wd,full-size,truck,red,al
birmingham,8500,2015.0,nissan,nissan - altima 2.5 s,excellent,4 cylinders,gas,100000.0,clean,automatic,fwd,full-size,sedan,white,al
birmingham,18990,2010.0,ford,ford - econoline cargo van,good,8 cylinders,gas,32988.0,clean,automatic,rwd,mid-size,van,white,al
birmingham,15900,2017.0,nissan,nissan - frontier sv,good,4 cylinders,gas,28650.0,rebuilt,automatic,rwd,full-size,truck,white,al
birmingham,13900,2013.0,honda,honda - cr-v lx,good,4 cylinders,gas,86933.0,clean,automatic,fwd,full-size,SUV,blue,al
birmingham,9800,2008.0,mazda,mazda - cx-9 touring,good,6 cylinders,gas,138266.0,clean,automatic,fwd,full-size,SUV,white,al
birmingham,7000,2004.0,jaguar,jaguar - xjr s,good,8 cylinders,gas,135185.0,clean,automatic,rwd,full-size,sedan,red,al
birmingham,8500,2008.0,lexus,lexus - es350,good,6 cylinders,gas,155374.0,clean,automatic,rwd,full-size,sedan,grey,al
