,Feature,Coefficient
55,fuel_diesel,6273.272873485022
86,type_truck,4084.1021357327936
53,cylinders_8 cylinders,2991.657938883493
69,drive_4wd,2272.7761159648835
38,manufacturer_toyota,1694.4776435721524
84,type_pickup,1188.536299188717
67,transmission_manual,1134.4672033399902
60,title_status_clean,1129.079706977269
33,manufacturer_ram,1045.3410421160725
1,year,929.0809675578913
14,manufacturer_gmc,895.9057579488898
105,state_ca,853.1796171471603
16,manufacturer_honda,837.5178041801281
78,type_convertible,815.3615213161714
128,state_nc,780.9396837338768
79,type_coupe,676.2361924381
52,cylinders_6 cylinders,665.7958781513278
23,manufacturer_lexus,629.6343580035173
44,condition_like new,589.960806095326
47,cylinders_10 cylinders,549.6350646103673
101,state_ak,450.8476902703105
143,state_tn,428.9432485434538
141,state_sc,392.3100767730862
32,manufacturer_porsche,388.45477125881644
74,size_mid-size,380.8028050556875
26,manufacturer_mercedes-benz,369.95963364290657
73,size_full-size,354.2161517232894
89,paint_color_black,342.25005826485966
114,state_id,330.4972297780586
99,paint_color_white,279.40262761652957
93,paint_color_green,276.66409605723356
123,state_mi,267.2235420135185
34,manufacturer_rover,230.31234681855105
29,manufacturer_mitsubishi,218.37999750890958
68,transmission_other,176.18889802882464
102,state_al,162.56859468224658
145,state_ut,158.50466837377192
125,state_mo,155.8692749525505
100,paint_color_yellow,155.77669793729638
111,state_ga,134.20431464515093
148,state_wa,126.85839703774995
82,type_offroad,116.37710821083827
138,state_or,104.02902748386161
95,paint_color_orange,103.15660694330306
37,manufacturer_tesla,91.16256247368844
20,manufacturer_jeep,86.57308668762083
31,manufacturer_pontiac,85.59626124393604
45,condition_new,84.68514101201696
97,paint_color_red,80.82710805405851
109,state_de,79.81276949172617
137,state_ok,79.34411739526426
127,state_mt,70.6345847176037
61,title_status_lien,69.0343043604307
144,state_tx,66.0153371059201
2,manufacturer_acura,61.12615204192058
142,state_sd,60.37168655474936
92,paint_color_custom,57.609852175841716
151,state_wy,53.63045410346915
117,state_ks,53.226928117047386
133,state_nm,49.674474270119944
129,state_nd,48.94921130043891
119,state_la,43.190625063257016
110,state_fl,41.70248141631916
71,drive_rwd,23.575435202447817
121,state_md,22.22100660990181
48,cylinders_12 cylinders,20.15212241622604
3,manufacturer_alfa-romeo,19.428605036633783
4,manufacturer_aston-martin,13.791629905667625
5,manufacturer_audi,13.21543871959589
103,state_ar,11.624701493716495
112,state_hi,11.511780161535071
0,odometer,-0.0728013472820741
15,manufacturer_harley-davidson,-0.5995463976595707
63,title_status_parts only,-3.6929090652118157
130,state_ne,-4.238146566686507
22,manufacturer_land rover,-4.2553765969219315
62,title_status_missing,-8.221951277139844
96,paint_color_purple,-15.038110195637131
83,type_other,-20.749787916795565
77,type_bus,-25.684510045717555
150,state_wv,-27.655144476746283
126,state_ms,-28.185996150558992
18,manufacturer_infiniti,-36.709641038048176
6,manufacturer_bmw,-39.35094885842525
8,manufacturer_cadillac,-45.143184923001826
122,state_me,-49.96972257757462
19,manufacturer_jaguar,-50.541628399769216
118,state_ky,-52.34815820611629
116,state_in,-53.72399197968269
27,manufacturer_mercury,-55.72661621727762
35,manufacturer_saturn,-68.71270509552929
140,state_ri,-69.9363059943554
25,manufacturer_mazda,-73.77581382172849
54,cylinders_other,-77.74772207783856
40,manufacturer_volvo,-77.95201371480071
56,fuel_electric,-83.40832713599875
59,fuel_other,-86.25435424351191
49,cylinders_3 cylinders,-86.31717145231612
46,condition_salvage,-99.88730528418543
12,manufacturer_fiat,-99.98740039333995
43,condition_good,-105.72924948412323
28,manufacturer_mini,-110.65535351148515
106,state_co,-116.62506343911112
115,state_il,-116.6743285698644
134,state_nv,-116.68421445722561
131,state_nh,-126.02617029196533
75,size_sub-compact,-128.06960476958153
108,state_dc,-148.2823649189444
146,state_va,-149.28347391573797
13,manufacturer_ford,-152.3207555552216
24,manufacturer_lincoln,-152.7028590986
91,paint_color_brown,-155.60494972610633
42,condition_fair,-189.03730050902038
113,state_ia,-203.05830886159586
7,manufacturer_buick,-211.56619680431498
104,state_az,-217.9683620245243
107,state_ct,-221.9872969481309
51,cylinders_5 cylinders,-229.7228166210754
120,state_ma,-249.93761466465705
81,type_mini-van,-253.72442565805673
124,state_mn,-257.26765431970296
94,paint_color_grey,-266.2970452054693
41,condition_excellent,-279.992091830064
9,manufacturer_chevrolet,-320.967767510283
149,state_wi,-321.9430905260745
39,manufacturer_volkswagen,-324.8815941304974
147,state_vt,-346.05462560843915
58,fuel_hybrid,-352.35406625970467
98,paint_color_silver,-383.20535545449036
65,title_status_salvage,-436.9433544047991
90,paint_color_blue,-475.54158646744366
132,state_nj,-496.1544547495164
139,state_pa,-506.37495039983736
10,manufacturer_chrysler,-506.7012826741238
136,state_oh,-545.5304099539802
88,type_wagon,-558.2986297670997
21,manufacturer_kia,-578.6782923999219
72,size_compact,-606.949352009385
135,state_ny,-611.9756736348294
87,type_van,-616.0688735496063
17,manufacturer_hyundai,-616.3973730664934
64,title_status_rebuilt,-749.2557965905495
36,manufacturer_subaru,-853.7144126345875
11,manufacturer_dodge,-894.4687943778416
80,type_hatchback,-1056.7051981244467
66,transmission_automatic,-1310.6561013688263
30,manufacturer_nissan,-1405.0675339391396
76,type_SUV,-1696.9352972497604
70,drive_fwd,-2296.3515511673786
85,type_sedan,-2652.4465345751646
50,cylinders_4 cylinders,-3833.4532939101664
57,fuel_gas,-5751.256125845879
